"state","date","cases"
"LA",2021-08-25,32794
"LA",2021-09-01,20939
"LA",2021-09-08,13322
"LA",2021-09-15,16297
"LA",2021-09-22,10210
"LA",2021-09-29,7656
"LA",2021-10-06,5910
"LA",2021-10-13,4902
"LA",2021-10-20,3554
"LA",2021-10-27,3712
"LA",2021-11-03,2952
"LA",2021-11-10,2937
"LA",2021-11-17,2763
"LA",2021-11-24,2660
"LA",2021-12-01,2786
"LA",2021-12-08,3076
"LA",2021-12-15,3629
"LA",2021-12-22,8996
"LA",2021-12-29,28690
"LA",2022-01-05,63321
"LA",2022-01-12,70392
"LA",2022-01-19,87308
"LA",2022-01-26,107955
"LA",2022-02-02,34568
"LA",2022-02-09,24872
"LA",2022-02-16,11701
"LA",2022-02-23,7638
"LA",2022-03-02,3078
"LA",2022-03-09,2231
"LA",2022-03-16,1272
"LA",2022-03-23,947
"LA",2022-03-30,701
"LA",2022-04-06,968
"LA",2022-04-13,921
"LA",2022-04-20,1537
"LA",2022-04-27,1638
"LA",2022-05-04,2148
"LA",2022-05-11,3340
"LA",2022-05-18,5114
"LA",2022-05-25,6717
"LA",2022-06-01,7191
"LA",2022-06-08,9226
"LA",2022-06-15,9943
"LA",2022-06-22,11650
"LA",2022-06-29,12894
"LA",2022-07-06,12615
"LA",2022-07-13,21131
"LA",2022-07-20,18151
"LA",2022-07-27,14738
"LA",2022-08-03,13485
"LA",2022-08-10,10917
"LA",2022-08-17,10511
"LA",2022-08-24,11150
"LA",2022-08-31,12814
"LA",2022-09-07,9246
"LA",2022-09-14,6481
"LA",2022-09-21,4566
"LA",2022-09-28,3146
"LA",2022-10-05,2208
"LA",2022-10-12,2048
"LA",2022-10-19,1160
"LA",2022-10-26,1567
"LA",2022-11-02,1946
"LA",2022-11-09,2321
"LA",2022-11-16,1873
"LA",2022-11-23,2868
"LA",2022-11-30,2651
"LA",2022-12-07,4453
"LA",2022-12-14,4724
"LA",2022-12-21,4041
"LA",2022-12-28,6406
"LA",2023-01-04,7090
"LA",2023-01-11,6849
"LA",2023-01-18,5205
"LA",2023-01-25,5019
"LA",2023-02-01,5725
"LA",2023-02-08,6972
"LA",2023-02-15,5147
"LA",2023-02-22,5478
"LA",2023-03-01,4566
"LA",2023-03-08,3139
"LA",2023-03-15,2699
"LA",2023-03-22,1961
"LA",2023-03-29,2203
"LA",2023-04-05,2618
"LA",2023-04-12,1546
"LA",2023-04-19,1814
"LA",2023-04-26,1884
"LA",2023-05-03,2120
"LA",2023-05-10,1420
"MA",2020-01-22,0
"MA",2020-01-29,1
"MA",2020-02-05,0
"MA",2020-02-12,1
"MA",2020-02-19,0
"MA",2020-02-26,0
"MA",2020-03-04,4
"MA",2020-03-11,126
"MA",2020-03-18,887
"MA",2020-03-25,3344
"MA",2020-04-01,6900
